name,position,team,assists,bonus,bps,clean_sheets,creativity,element,fixture,goals_conceded,goals_scored,ict_index,influence,kickoff_time,minutes,opponent_team,own_goals,penalties_missed,penalties_saved,red_cards,round,saves,selected,team_a_score,team_h_score,threat,total_points,transfers_balance,transfers_in,transfers_out,value,was_home,yellow_cards,GW,In_DreamTeam,Season
Alex Iwobi,MID,Everton,0,0,16,0,41.3,186,143,2,0,8.8,14.4,2022-11-05T17:30:00Z,90,10,0,0,0,0,15,0,217490,2,0,32,2,14458,38543,24085,56,TRUE,0,15,0,22-23
Sven Botman,DEF,Newcastle,0,0,15,0,0.1,377,147,1,0,2.1,18.4,2022-11-06T14:00:00Z,90,17,0,0,0,0,15,0,279987,4,1,2,2,22550,36778,14228,44,FALSE,0,15,0,22-23
Saïd Benrahma,MID,West Ham,0,0,22,0,1.8,464,149,1,1,4.5,36.6,2022-11-06T14:00:00Z,63,7,0,0,0,0,15,0,96752,2,1,7,7,10699,15304,4605,56,TRUE,0,15,0,22-23
Fabio Henrique Tavares,MID,Liverpool,0,0,18,0,24.3,282,148,1,0,4.6,21.6,2022-11-06T16:30:00Z,90,18,0,0,0,0,15,0,94785,2,1,0,2,-3270,1051,4321,53,FALSE,0,15,0,22-23
Tomas Soucek,MID,West Ham,0,0,9,0,0.4,468,149,1,0,1.3,12.8,2022-11-06T14:00:00Z,63,7,0,0,0,0,15,0,97228,2,1,0,2,-6097,2245,8342,52,TRUE,0,15,0,22-23
Mads Roerslev Rasmussen,DEF,Brentford,0,0,13,0,0.6,90,146,2,0,1.6,13,2022-11-05T15:00:00Z,90,16,0,0,0,0,15,0,6117,2,2,2,1,-112,197,309,43,FALSE,0,15,0,22-23
Wilfried Zaha,MID,Crystal Palace,1,2,29,0,13.6,160,149,1,1,11.9,55,2022-11-06T14:00:00Z,90,19,0,0,0,0,15,0,2105156,2,1,50,12,-358690,51035,409725,75,FALSE,0,15,0,22-23
Sean Longstaff,MID,Newcastle,0,0,6,0,6.7,370,147,1,0,1.6,5,2022-11-06T14:00:00Z,90,17,0,0,0,0,15,0,213409,4,1,4,2,-25506,7172,32678,44,FALSE,0,15,0,22-23
Granit Xhaka,MID,Arsenal,0,0,16,1,4.6,3,142,0,0,4.7,20.4,2022-11-06T12:00:00Z,90,6,0,0,0,0,15,0,429403,1,0,22,3,-9632,28099,37731,51,FALSE,0,15,0,22-23
Lisandro Martínez,DEF,Man Utd,0,0,14,0,16.4,533,141,3,0,3.7,20.4,2022-11-06T14:00:00Z,90,2,0,0,0,0,15,0,733079,1,3,0,1,53543,65472,11929,45,FALSE,0,15,0,22-23
Harvey Barnes,MID,Leicester,0,0,23,1,13.3,264,143,0,1,11.5,43.2,2022-11-05T17:30:00Z,90,8,0,0,0,0,15,0,175292,2,0,58,8,985,16052,15067,69,FALSE,0,15,0,22-23
Idrissa Gueye,MID,Everton,0,0,9,0,0.8,611,143,1,0,1.4,12.8,2022-11-05T17:30:00Z,45,10,0,0,0,0,15,0,6635,2,0,0,1,-258,381,639,50,TRUE,0,15,0,22-23
Michail Antonio,FWD,West Ham,0,0,-1,0,1.5,458,149,1,0,0.6,0.2,2022-11-06T14:00:00Z,45,7,0,0,0,0,15,0,183236,2,1,4,1,18098,26142,8044,70,TRUE,0,15,0,22-23
Mohamed Elyounoussi,MID,Southampton,0,0,3,0,16.3,406,147,4,0,5.8,5.8,2022-11-06T14:00:00Z,90,15,0,0,0,0,15,0,6708,4,1,36,2,-126,238,364,52,TRUE,0,15,0,22-23
Frank Onyeka,MID,Brentford,0,0,5,0,0.6,93,146,1,0,0.7,6.4,2022-11-05T15:00:00Z,45,16,0,0,0,0,15,0,4267,2,2,0,1,-178,119,297,48,FALSE,0,15,0,22-23
Rodrigo Bentancur,MID,Spurs,0,0,16,0,12.3,440,148,2,0,5.5,23.6,2022-11-06T16:30:00Z,90,12,0,0,0,0,15,0,50192,2,1,19,2,-409,6707,7116,54,TRUE,0,15,1,22-23
Mason Mount,MID,Chelsea,0,0,6,0,14.7,142,142,1,0,3.1,4.2,2022-11-06T12:00:00Z,77,1,0,0,0,0,15,0,903001,1,0,12,2,-191235,38282,229517,76,TRUE,0,15,0,22-23
Kai Havertz,FWD,Chelsea,0,0,7,0,13,145,142,1,0,4.4,8.4,2022-11-06T12:00:00Z,63,1,0,0,0,0,15,0,264157,1,0,23,2,34343,46756,12413,77,TRUE,0,15,0,22-23
Jorge Luiz Frello Filho,MID,Chelsea,0,0,16,0,2.3,130,142,1,0,1.3,10.4,2022-11-06T12:00:00Z,90,1,0,0,0,0,15,0,256097,1,0,0,2,-15002,3885,18887,58,TRUE,0,15,0,22-23
Andreas Hoelgebaum Pereira,MID,Fulham,0,0,18,0,0.2,346,145,1,1,5.5,37.4,2022-11-05T15:00:00Z,87,13,0,0,0,0,15,0,2630117,1,2,17,6,-143347,50298,193645,46,FALSE,1,15,0,22-23
Oleksandr Zinchenko,DEF,Arsenal,0,1,24,1,1.7,313,142,0,0,1.4,12.4,2022-11-06T12:00:00Z,77,6,0,0,0,0,15,0,822365,1,0,0,7,-43018,3028,46046,50,FALSE,0,15,0,22-23
Emerson Leite de Souza Junior,DEF,Spurs,0,0,12,0,2.9,445,148,2,0,1.7,14.2,2022-11-06T16:30:00Z,67,12,0,0,0,0,15,0,219581,2,1,0,1,-12300,1962,14262,49,TRUE,0,15,0,22-23
Daniel Castelo Podence,MID,Wolves,1,0,9,0,0.9,483,150,2,0,0.3,0,2022-11-05T15:00:00Z,45,5,0,0,0,0,15,0,95886,3,2,4,4,-8488,2321,10809,53,TRUE,0,15,0,22-23
Michael Olise,MID,Crystal Palace,0,3,37,0,46.6,171,149,1,1,14.7,47,2022-11-06T14:00:00Z,90,19,0,0,0,0,15,0,19964,2,1,53,10,-1065,1012,2077,54,FALSE,0,15,0,22-23
Marc Cucurella Saseta,DEF,Chelsea,0,0,3,0,1.3,112,142,1,0,3.2,10.4,2022-11-06T12:00:00Z,90,1,0,0,0,0,15,0,919267,1,0,20,2,-85766,13266,99032,51,TRUE,0,15,0,22-23
Ollie Watkins,FWD,Aston Villa,1,0,15,0,13.3,40,141,1,0,4,18.8,2022-11-06T14:00:00Z,77,14,0,0,0,0,15,0,194829,1,3,8,5,-1193,18081,19274,71,TRUE,0,15,0,22-23
Adam Smith,DEF,Bournemouth,0,0,9,0,0.7,57,144,4,0,1.7,16,2022-11-05T15:00:00Z,90,11,0,0,0,0,15,0,21910,3,4,0,0,1322,2996,1674,44,FALSE,0,15,1,22-23
Leandro Trossard,MID,Brighton,1,0,16,0,23.9,111,150,2,0,6.5,19.2,2022-11-05T15:00:00Z,81,20,0,0,0,0,15,0,2825026,3,2,22,5,815472,837343,21871,70,FALSE,0,15,0,22-23
Jacob Murphy,MID,Newcastle,1,0,15,1,15.3,365,147,0,0,3.8,20.4,2022-11-06T14:00:00Z,63,17,0,0,0,0,15,0,403105,4,1,2,6,-59276,6276,65552,43,FALSE,0,15,0,22-23
Benjamin White,DEF,Arsenal,0,0,21,1,12.8,10,142,0,0,3,10.4,2022-11-06T12:00:00Z,90,6,0,0,0,0,15,0,909298,1,0,7,5,26888,53353,26465,46,FALSE,1,15,1,22-23
Jacob Ramsey,MID,Aston Villa,2,3,43,0,13.3,47,141,1,1,9,57.8,2022-11-06T14:00:00Z,90,14,1,0,0,0,15,0,91786,1,3,19,14,-11101,692,11793,52,TRUE,0,15,0,22-23
Kieffer Moore,FWD,Bournemouth,0,0,1,0,8,62,144,4,0,3.2,7.4,2022-11-05T15:00:00Z,90,11,0,0,0,0,15,0,119163,3,4,17,2,54244,60474,6230,54,FALSE,0,15,0,22-23
Kaoru Mitoma,MID,Brighton,0,1,32,0,27.2,124,150,2,1,10.2,45.8,2022-11-05T15:00:00Z,89,20,0,0,0,0,15,0,5853,3,2,29,8,1687,1957,270,49,FALSE,0,15,0,22-23
Issa Diop,DEF,Fulham,0,0,18,0,0.1,470,145,2,0,4.3,25.2,2022-11-05T15:00:00Z,90,13,0,0,0,0,15,0,22012,1,2,18,1,1157,2501,1344,43,FALSE,0,15,0,22-23
Rico Henry,DEF,Brentford,0,0,6,0,2.8,85,146,2,0,1.2,7.4,2022-11-05T15:00:00Z,90,16,0,0,0,0,15,0,131519,2,2,2,1,-3269,6578,9847,45,FALSE,0,15,0,22-23
Harry Wilson,MID,Fulham,1,0,15,0,2.6,212,145,1,0,0.8,0,2022-11-05T15:00:00Z,75,13,0,0,0,0,15,0,5324,1,2,6,5,89,770,681,57,FALSE,0,15,0,22-23
