name,position,team,assists,bonus,bps,clean_sheets,creativity,element,fixture,goals_conceded,goals_scored,ict_index,influence,kickoff_time,minutes,opponent_team,own_goals,penalties_missed,penalties_saved,red_cards,round,saves,selected,team_a_score,team_h_score,threat,total_points,transfers_balance,transfers_in,transfers_out,value,was_home,yellow_cards,GW,In_DreamTeam
José Malheiro de Sá,GK,Wolves,0,0,17,0,0,475,5,1,0,2.6,26.2,2021-08-14T14:00:00Z,90,9,0,0,0,0,1,4,23035,0,1,0,3,0,0,0,50,FALSE,0,1,0
Matthew Cash,DEF,Aston Villa,0,0,21,0,13.7,44,8,3,0,3,14.8,2021-08-14T14:00:00Z,90,18,0,0,0,0,1,0,126813,2,3,1,1,0,0,0,50,FALSE,0,1,0
Allan Saint-Maximin,FWD,Newcastle,1,1,34,0,48.3,307,9,4,0,9.8,39.6,2021-08-15T13:00:00Z,90,19,0,0,0,0,1,0,293340,4,2,10,6,0,0,0,65,TRUE,0,1,0
Joel Ward,DEF,Crystal Palace,0,0,15,0,1.3,474,3,3,0,2.5,23.8,2021-08-14T14:00:00Z,90,6,0,0,0,0,1,0,15214,0,3,0,1,0,0,0,45,FALSE,0,1,0
Milot Rashica,MID,Norwich,0,0,5,0,29.2,449,7,3,0,3.9,3.4,2021-08-14T16:30:00Z,76,11,0,0,0,0,1,0,14489,3,0,6,2,0,0,0,55,TRUE,0,1,0
Vladimir Coufal,DEF,West Ham,0,0,18,0,23.9,418,9,2,0,5,20.4,2021-08-15T13:00:00Z,90,14,0,0,0,0,1,0,932002,4,2,6,1,0,0,0,50,FALSE,0,1,0
Emile Smith Rowe,MID,Arsenal,0,0,13,0,35.3,21,1,2,0,7.3,13,2021-08-13T19:00:00Z,90,3,0,0,0,0,1,0,497578,0,2,25,2,0,0,0,55,FALSE,0,1,0
Riyad Mahrez,MID,Man City,0,0,9,0,22.1,254,10,1,0,4.7,6.4,2021-08-15T15:30:00Z,78,17,0,0,0,0,1,0,533583,0,1,18,2,0,0,0,90,FALSE,0,1,0
Bamidele Alli,MID,Spurs,0,0,6,1,2.2,363,10,0,0,1.5,12.4,2021-08-15T15:30:00Z,90,12,0,0,0,0,1,0,84222,0,1,0,3,0,0,0,65,TRUE,0,1,0
Frank Onyeka,MID,Brentford,0,0,9,1,15.5,479,1,0,0,2.5,5.4,2021-08-13T19:00:00Z,79,1,0,0,0,0,1,0,4896,0,2,4,3,0,0,0,50,TRUE,0,1,0
Jay Rodriguez,FWD,Burnley,0,0,10,1,2.5,104,2,0,0,2.6,6.6,2021-08-14T14:00:00Z,69,4,0,0,0,0,1,0,58733,2,1,17,2,0,0,0,55,TRUE,0,1,0
